,city,total_absences,percent_missed
63,Kansas City,6,22.2222222222222
64,Topeka,14,29.7872340425532
65,Topeka,8,17.0212765957447
66,Kansas City,8,17.0212765957447
67,Kansas City,5,10.6382978723404
68,Wellsville,21,44.6808510638298
69,Topeka,20,42.5531914893617
70,Topeka,15,31.9148936170213
71,Overland Park,16,44.4444444444444
72,Overland Park,5,10.6382978723404
73,Kansas City,10,21.2765957446808
74,Topeka,8,17.0212765957447
75,Topeka,8,17.0212765957447
76,Topeka,7,14.8936170212766
77,Ogden,5,10.6382978723404
78,Melvern,9,19.1489361702128
79,Kansas City,10,21.2765957446808
80,Topeka,8,17.0212765957447
81,Topeka,12,25.531914893617
82,Topeka,23,48.936170212766
83,Topeka,8,17.3913043478261
84,Kansas City,12,25.531914893617
85,Mc Louth,8,17.0212765957447
86,Overland Park,23,48.936170212766
87,Topeka,10,21.2765957446808
88,Topeka,5,10.6382978723404
89,Topeka,7,14.8936170212766
90,Topeka,5,11.9047619047619
91,Topeka,5,10.6382978723404
92,Topeka,9,19.1489361702128
93,Topeka,7,14.8936170212766
94,Admire,6,12.7659574468085
95,Scammon,8,17.0212765957447
96,Topeka,7,14.8936170212766
97,Topeka,11,23.4042553191489
98,Milford,13,27.6595744680851
99,Redfield,6,12.7659574468085
100,Topeka,5,13.5135135135135
101,Kansas City,5,10.6382978723404
102,Overland Park,20,42.5531914893617
103,Kansas City,10,21.2765957446808
104,Topeka,11,23.4042553191489
105,Topeka,11,23.4042553191489
106,Kansas City,6,12.7659574468085
107,Treece,8,18.1818181818182
108,Kansas City,7,14.8936170212766
109,Topeka,5,10.6382978723404
110,Topeka,6,12.7659574468085
111,Topeka,11,23.4042553191489
112,Kansas City,13,27.6595744680851
113,Topeka,19,40.4255319148936
114,Kansas City,5,10.6382978723404
115,Topeka,5,15.1515151515152
116,Blue Mound,7,14.8936170212766
117,Topeka,8,18.1818181818182
118,Kansas City,8,17.0212765957447
119,Topeka,10,21.2765957446808
120,Topeka,11,23.4042553191489
121,Topeka,5,10.6382978723404
122,Topeka,5,10.6382978723404
123,Topeka,7,14.8936170212766
124,Overland Park,6,12.7659574468085
125,Topeka,7,17.5
126,Highland,5,10.6382978723404
127,Topeka,10,21.7391304347826
128,Carbondale,5,10.6382978723404
129,Topeka,5,10.6382978723404
130,Fredonia,4,12.9032258064516
131,Topeka,5,10.6382978723404
132,Topeka,14,29.7872340425532
133,Topeka,9,19.1489361702128
134,Kansas City,14,29.7872340425532
135,Kansas City,18,38.2978723404255
136,Topeka,7,14.8936170212766
137,Topeka,9,19.5652173913043
138,Topeka,6,12.7659574468085
139,Topeka,7,14.8936170212766
140,Topeka,6,12.7659574468085
141,Overland Park,10,21.2765957446808
142,Topeka,6,12.7659574468085
143,Topeka,6,12.7659574468085
144,Greeley,5,10.6382978723404
145,Topeka,5,10.6382978723404
146,Topeka,15,31.9148936170213
147,Kansas City,9,19.1489361702128
148,Overland Park,8,17.0212765957447
149,Topeka,5,10.6382978723404
150,Kansas City,5,10.6382978723404
151,Kansas City,14,29.7872340425532
152,Topeka,5,10.6382978723404
153,Topeka,15,45.4545454545455
154,Topeka,11,23.4042553191489
155,Topeka,16,34.0425531914894
156,Topeka,6,12.7659574468085
